Plot,ID 2018,ID 2019,Area 2018,Area 2019,Class,Split\Fuse
16,518,531,231.2567917,288.6706804,Dead,none
16,526,540,230.8132357,241.254544,Dead,split
16,526,551,230.8132357,86.64422904,Dead,fuse
16,532,548,79.7957244,126.1162775,Dead,none
16,534,550,57.69332892,82.50585156,Dead,none
16,535,549,80.53202736,94.47299244,Dead,none
16,539,539,11.38164696,285.9738599,Dead,fuse
16,0,0,15.17848632,20.4479316,Live,none
16,15,15,170.3476818,215.0669977,Live,none
16,17,18,106.7772359,173.5634628,Live,none
16,18,17,205.3974769,223.7429531,Live,none
16,20,19,49.16374704,77.5779444,Live,none
16,26,23,85.06516968,120.0706092,Live,none
16,33,28,130.5119174,197.2937088,Live,none
16,36,34,143.2419746,192.2016859,Live,none
16,38,36,487.4813507,472.608918,Live,none
16,39,38,206.8434695,246.0405132,Live,none
16,43,43,78.02593596,63.54826812,Live,none
16,44,45,96.806097,142.3992182,Live,none
16,45,46,147.5178545,130.2324772,Live,none
16,49,49,52.10008776,124.8477073,Live,none
16,51,51,342.3276497,351.6511968,Live,none
16,54,54,312.9775492,335.0267179,Live,none
16,58,57,467.286246,650.7188298,Live,none
16,59,60,101.423515,141.93792,Live,none
16,60,63,97.34723532,2.79883836,Live,none
16,65,67,219.5025577,258.8992016,Live,fuse
16,71,72,142.6254318,177.0808619,Live,none
16,72,73,51.03998892,103.8586374,Live,none
16,73,74,140.9266123,160.0704893,Live,none
16,74,80,159.8930669,191.243605,Live,none
16,75,77,195.4307736,267.0118409,Live,none
16,76,79,45.81046368,88.46280864,Live,none
16,77,81,92.9915154,114.7435016,Live,none
16,79,85,36.71313012,31.6920762,Live,fuse
16,80,84,172.6852219,218.854966,Live,none
16,81,86,557.8204612,551.5485793,Live,split
16,81,108,557.8204612,143.6633528,Live,fuse
16,86,88,224.7897452,362.1013762,Live,fuse
16,87,93,109.7978522,133.0490578,Live,none
16,88,94,175.3288157,189.6024478,Live,none
16,93,99,213.572214,193.2263003,Live,none
16,95,101,125.26465,385.2328216,Live,fuse
16,97,103,55.8215226,38.589372,Live,none
16,98,88,91.78504308,362.1013762,Live,fuse
16,104,101,188.55122,385.2328216,Live,fuse
16,106,113,99.74243772,117.9681538,Live,none
16,108,108,26.43150204,143.6633528,Live,fuse
16,108,112,26.43150204,18.98863236,Live,split
16,109,101,10.201788,385.2328216,Live,fuse
16,110,114,198.784057,223.1352814,Live,none
16,111,108,39.08615472,143.6633528,Live,fuse
16,112,120,152.6631041,198.1763852,Live,none
16,113,131,319.9458139,72.31293468,Live,none
16,114,117,8.12594592,65.2470876,Live,none
16,116,122,157.9902116,158.5845767,Live,none
16,117,123,100.6650342,120.8379611,Live,none
16,118,124,87.07447836,113.8342118,Live,none
16,119,125,82.38609144,86.77729584,Live,none
16,121,126,107.2917608,118.3052563,Live,none
16,127,133,50.92909992,54.81908604,Live,none
16,130,138,79.27232832,106.1562575,Live,none
16,132,142,92.71651068,114.5838215,Live,none
16,134,143,59.11714368,59.74255764,Live,none
16,135,149,195.1468978,201.7691888,Live,none
16,139,150,286.2710424,283.3834928,Live,none
16,140,151,90.07291692,124.013822,Live,none
16,148,156,62.86962744,76.81946364,Live,fuse
16,149,157,50.55651288,62.02243548,Live,none
16,150,153,390.1651643,436.1707926,Live,fuse
16,151,159,185.2689056,165.2512234,Live,none
16,153,162,48.99963132,20.88705204,Live,none
16,154,163,136.9922706,127.5445278,Live,none
16,155,160,349.4955146,190.9730358,Live,split
16,155,166,349.4955146,2.13793992,Live,split
16,155,174,349.4955146,2.03148648,Live,split
16,155,178,349.4955146,44.9765784,Live,split
16,159,167,83.32643016,93.73668948,Live,none
16,165,180,106.9945783,80.97558336,Live,none
16,166,177,106.967965,121.1218369,Live,none
16,167,182,53.41301352,4.83032484,Live,none
16,168,179,169.4029075,270.3340753,Live,none
16,169,181,276.3974858,280.8552236,Live,none
16,174,190,170.2101794,101.130768,Live,none
16,179,188,201.2147438,268.9856651,Live,fuse
16,181,195,44.52858684,28.56057084,Live,none
16,182,198,59.4808596,61.40145708,Live,none
16,187,203,79.4408796,81.60099732,Live,none
16,193,207,32.01587208,44.38221336,Live,none
16,196,210,189.6689812,110.374475,Live,none
16,197,209,199.0102705,245.5171171,Live,none
16,206,218,219.1388418,150.1082215,Live,none
16,213,224,41.80071744,26.84844468,Live,none
16,215,225,29.01299796,4.74161364,Live,none
16,219,229,110.6095597,115.395529,Live,none
16,221,228,106.675218,161.2592194,Live,none
16,223,232,94.44637908,120.3101294,Live,none
16,225,230,202.2437938,195.5416626,Live,none
16,233,243,4.58193348,128.147764,Live,fuse
16,237,245,76.99688604,98.4472542,Live,none
16,238,243,7.28318952,128.147764,Live,fuse
16,239,250,221.9066312,152.7695575,Live,none
16,241,254,155.4087157,175.9897141,Live,none
16,244,253,228.9325583,241.9110068,Live,none
16,245,255,194.2198657,257.7858761,Live,none
16,247,257,181.232546,177.0098929,Live,fuse
16,249,256,111.2305381,137.7551869,Live,none
16,255,258,130.2102994,189.8730169,Live,none
16,262,268,174.3796058,201.2103083,Live,split
16,262,278,174.3796058,90.00194796,Live,fuse
16,264,272,142.4568805,147.6997124,Live,none
16,272,281,15.12082404,28.05048144,Live,none
16,278,286,159.4051553,229.2386119,Live,none
16,279,295,136.2160476,74.69039484,Live,none
16,280,289,182.8781388,184.812043,Live,none
16,281,290,148.7642468,202.0175802,Live,none
16,282,292,80.3723472,86.26720644,Live,none
16,283,291,74.7835416,86.91036264,Live,none
16,284,296,186.4709424,236.2867168,Live,fuse
16,287,304,656.1390841,658.9290514,Live,fuse
16,290,304,2.61254484,658.9290514,Live,fuse
16,291,307,216.4331502,235.8697741,Live,none
16,292,308,192.6053219,223.703033,Live,none
16,294,306,72.71213508,95.2092954,Live,none
16,295,310,71.17743132,61.53008832,Live,none
16,298,313,27.77991228,55.07634852,Live,none
16,300,317,37.95508692,60.46555392,Live,none
16,302,314,62.35953804,31.29731136,Live,none
16,303,315,173.723143,238.854906,Live,none
16,304,318,123.6101861,168.6089423,Live,none
16,305,322,91.31930928,70.92016884,Live,none
16,308,320,192.3125749,231.4031652,Live,none
16,309,325,98.81984124,126.8791938,Live,none
16,311,326,105.4864879,200.4784409,Live,none
16,313,327,179.0236372,165.1802544,Live,none
16,314,329,103.1888678,123.9384175,Live,none
16,318,337,41.472486,32.14450332,Live,none
16,319,334,202.8337232,256.3798036,Live,none
16,320,338,33.85219392,24.42662892,Live,none
16,321,344,107.6066856,89.04830256,Live,fuse
16,324,340,49.24358712,67.84632576,Live,none
16,326,343,166.626247,306.2975958,Live,none
16,328,348,39.73818204,64.01400192,Live,fuse
16,329,344,185.9253685,89.04830256,Live,fuse
16,334,353,175.5239803,231.8245434,Live,none
16,335,355,38.11033152,52.39283472,Live,none
16,338,359,352.6536334,408.0271644,Live,none
16,339,361,2.45286468,7.46504748,Live,fuse
16,340,362,107.6510412,130.0461836,Live,split
16,340,361,107.6510412,7.46504748,Live,fuse
16,345,369,655.9705328,684.4202147,Live,fuse
16,349,367,220.7001589,251.6381899,Live,none
16,351,370,230.8575913,297.7280939,Live,none
16,353,374,145.4242702,171.2791494,Live,none
16,354,369,62.25752016,684.4202147,Live,fuse
16,354,375,62.25752016,73.5415848,Live,split
16,355,376,83.24215452,98.64241884,Live,none
16,356,379,35.27157312,38.03049144,Live,none
16,360,383,149.6158744,176.8635194,Live,none
16,364,385,57.40501752,59.63166864,Live,none
16,365,371,19.28137932,459.9054742,Live,fuse
16,366,387,135.133771,100.2126071,Live,none
16,370,371,61.39258596,459.9054742,Live,fuse
16,372,396,50.33029932,61.88049756,Live,none
16,373,394,172.2638437,183.1620146,Live,none
16,374,392,79.4187018,112.4769305,Live,none
16,375,400,132.8538931,156.6684148,Live,none
16,377,417,97.52909328,4.26700872,Live,none
16,378,401,78.80215896,120.5940053,Live,none
16,379,405,79.28119944,77.76867348,Live,none
16,380,402,215.2266779,269.4735767,Live,none
16,381,399,210.9286202,269.198572,Live,none
16,382,403,370.0011085,348.1471044,Live,none
16,383,409,82.19979792,124.599316,Live,fuse
16,385,408,40.30593372,33.49291356,Live,fuse
16,386,404,161.2680905,103.0380588,Live,none
16,391,406,62.08453332,77.32511748,Live,fuse
16,391,419,62.08453332,13.28006664,Live,split
16,392,415,689.2194906,828.7001104,Live,split
16,392,428,689.2194906,3.3488478,Live,split
16,399,420,168.844027,188.0500018,Live,none
16,401,424,287.8323595,297.4176047,Live,none
16,404,432,253.6962898,238.5843368,Live,split
16,404,450,253.6962898,15.73293132,Live,split
16,406,418,195.0005243,331.0081006,Live,fuse
16,407,431,204.6123828,286.6525006,Live,none
16,409,433,165.9121218,248.9768539,Live,fuse
16,411,435,312.4097975,579.3373627,Live,fuse
16,412,433,45.81046368,248.9768539,Live,fuse
16,412,436,45.81046368,58.72237884,Live,split
16,413,437,120.5230363,144.7190161,Live,none
16,414,442,141.9955823,100.3722872,Live,none
16,415,438,40.27932036,70.32136824,Live,none
16,419,441,78.73119,106.2405331,Live,none
16,420,435,120.82909,579.3373627,Live,fuse
16,420,448,120.82909,104.7945406,Live,split
16,421,443,90.7515576,109.1635672,Live,none
16,424,446,379.9323274,437.718803,Live,fuse
16,425,449,86.48454888,70.46330616,Live,none
16,429,452,61.09540344,70.19717256,Live,none
16,430,453,184.9007542,219.1965041,Live,none
16,432,454,175.608256,194.792053,Live,none
16,433,455,74.18030544,56.50459884,Live,none
16,436,459,100.283576,132.805102,Live,none
16,437,458,144.1512644,198.0255762,Live,none
16,442,463,163.7786174,171.9400478,Live,none
16,444,469,55.98563832,81.80059752,Live,none
16,445,474,98.35410744,122.9980788,Live,none
16,446,471,165.1314632,193.5500962,Live,none
16,448,483,180.8555234,217.5331691,Live,split
16,448,477,180.8555234,3.43312344,Live,split
16,449,472,137.2938887,180.1680116,Live,none
16,452,475,21.80521296,52.2952524,Live,none
16,453,478,43.63260372,36.54457884,Live,none
16,454,480,247.8236083,286.5105626,Live,none
16,459,486,166.1028509,193.9226832,Live,none
16,463,491,98.6246766,144.2222334,Live,none
16,464,493,99.02831256,114.5128525,Live,none
16,469,495,227.947864,289.1807698,Live,none
16,474,498,85.69945476,99.35210844,Live,none
16,476,499,262.2613561,297.1559066,Live,none
16,477,512,55.6884558,9.74492532,Live,none
16,483,502,135.5640203,184.5104249,Live,none
16,487,507,259.6044557,286.2488646,Live,none
16,489,506,64.67490036,72.76092624,Live,none
16,493,511,85.0296852,101.4057727,Live,none
16,494,510,431.6997481,483.4671689,Live,none
16,496,514,108.9817092,177.2094931,Live,fuse
16,498,514,140.1548249,177.2094931,Live,fuse
16,498,517,140.1548249,133.7099562,Live,split
16,503,519,127.4691233,153.4215848,Live,none
16,507,522,79.13482596,189.8508391,Live,fuse
16,511,522,84.53733804,189.8508391,Live,fuse
16,513,526,125.2690855,104.5417136,Live,none
16,516,529,142.0665512,148.9283626,Live,none
16,517,530,70.36572384,74.32667892,Live,none
16,519,532,114.1092166,127.1808119,Live,none
16,524,538,55.6441002,78.98845248,Live,none
16,529,542,73.15569108,107.1099029,Live,none
16,530,546,69.52296744,67.01687604,Live,none
16,533,547,46.63547784,46.9947582,Live,none
16,538,552,21.38827032,20.74067856,Live,none
16,3,5,408.9852454,473.9750705,Partially dead,fuse
16,3,2,408.9852454,3.97426176,Partially dead,split
16,3,3,408.9852454,311.55817,Partially dead,split
16,11,11,294.3304549,297.8123695,Partially dead,split
16,11,21,294.3304549,27.82870344,Partially dead,split
16,12,9,888.5358148,739.1594606,Partially dead,split
16,12,27,888.5358148,332.5383688,Partially dead,fuse
16,16,16,444.9354592,348.8346162,Partially dead,split
16,16,22,444.9354592,121.6807175,Partially dead,fuse
16,16,30,444.9354592,5.33597868,Partially dead,split
16,32,31,106.1695642,119.8621379,Partially dead,split
16,32,26,106.1695642,40.30149816,Partially dead,fuse
16,34,32,302.2301873,312.4718953,Partially dead,split
16,34,41,302.2301873,10.1352546,Partially dead,split
16,42,44,696.8797027,666.8066059,Partially dead,split
16,42,40,696.8797027,159.0769238,Partially dead,split
16,42,55,696.8797027,20.44349604,Partially dead,split
16,48,48,363.8135023,35.7949692,Partially dead,split
16,48,50,363.8135023,130.5784508,Partially dead,split
16,48,53,363.8135023,135.989834,Partially dead,fuse
16,48,59,363.8135023,11.1554334,Partially dead,split
16,48,61,363.8135023,18.46967184,Partially dead,split
16,64,66,199.7864935,188.3782332,Partially dead,split
16,64,68,199.7864935,78.6424788,Partially dead,split
16,64,69,199.7864935,4.40894664,Partially dead,split
16,68,71,246.4929403,277.0495132,Partially dead,split
16,68,78,246.4929403,11.20866012,Partially dead,split
16,70,58,43.48623024,393.7845812,Partially dead,fuse
16,70,76,43.48623024,54.30899664,Partially dead,split
16,78,82,399.9278318,269.349381,Partially dead,split
16,78,90,399.9278318,33.91429176,Partially dead,split
16,89,95,375.9225811,324.310405,Partially dead,split
16,89,100,375.9225811,27.26095176,Partially dead,split
16,92,97,490.8612474,536.7249378,Partially dead,fuse
16,92,107,490.8612474,131.0042646,Partially dead,fuse
16,94,105,232.9511756,66.43138212,Partially dead,split
16,94,106,232.9511756,58.0614804,Partially dead,split
16,94,109,232.9511756,28.3210506,Partially dead,split
16,94,111,232.9511756,2.20447332,Partially dead,split
16,96,102,72.81858852,39.4986618,Partially dead,split
16,96,110,72.81858852,14.49984564,Partially dead,split
16,100,87,153.0002066,460.6683905,Partially dead,fuse
16,100,115,153.0002066,66.79509804,Partially dead,split
16,105,97,77.2452774,536.7249378,Partially dead,fuse
16,105,107,77.2452774,131.0042646,Partially dead,fuse
16,115,119,378.282299,485.5385754,Partially dead,split
16,115,134,378.282299,2.56375368,Partially dead,split
16,126,130,154.5703949,141.9645334,Partially dead,split
16,126,137,154.5703949,51.48798048,Partially dead,split
16,128,132,338.393308,309.7883815,Partially dead,split
16,128,147,338.393308,160.4874319,Partially dead,fuse
16,129,136,566.6649678,572.1207066,Partially dead,split
16,129,139,566.6649678,2.30205564,Partially dead,split
16,146,154,419.4442958,466.5055874,Partially dead,split
16,146,161,419.4442958,10.2683214,Partially dead,split
16,147,148,349.2959144,473.2565098,Partially dead,fuse
16,147,152,349.2959144,273.3768695,Partially dead,split
16,158,168,132.2772703,650.9805278,Partially dead,fuse
16,158,165,132.2772703,105.2780166,Partially dead,split
16,161,183,336.4594038,731.605702,Partially dead,fuse
16,161,169,336.4594038,266.909823,Partially dead,split
16,170,184,368.1204311,173.8384675,Partially dead,fuse
16,170,186,368.1204311,174.1134722,Partially dead,split
16,170,189,368.1204311,3.18916764,Partially dead,split
16,170,193,368.1204311,24.07621968,Partially dead,split
16,170,196,368.1204311,70.303626,Partially dead,split
16,170,199,368.1204311,10.4013882,Partially dead,split
16,175,168,37.62685548,650.9805278,Partially dead,fuse
16,175,188,37.62685548,268.9856651,Partially dead,fuse
16,198,217,1272.118608,1259.969609,Partially dead,fuse
16,198,212,1272.118608,97.34723532,Partially dead,split
16,198,221,1272.118608,111.2748937,Partially dead,split
16,198,246,1272.118608,8.29893276,Partially dead,split
16,200,200,102.5279694,1023.021994,Partially dead,fuse
16,200,213,102.5279694,101.9158621,Partially dead,split
16,201,216,823.310905,839.4075522,Partially dead,split
16,201,215,823.310905,27.69563664,Partially dead,split
16,209,222,406.7985143,381.4271111,Partially dead,split
