Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1051,-1,0,0.0,190.8640436868,Pocillopora,born,none
1052,-1,1,0.0,3.2704569215999997,Pocillopora_dead,born,none
592,-1,2,0.0,1091.0439806903998,Pocillopora,born,none
0,-1,4,0.0,5.492234721599999,Pocillopora_dead,born,none
1053,-1,5,0.0,1976.6712731039997,Pocillopora_dead,born,none
1,-1,6,0.0,242.50260331439998,Pocillopora,born,none
3,-1,7,0.0,66.65777755559999,Pocillopora,born,none
842,-1,8,0.0,1116.3278120544,Pocillopora_dead,born,none
1054,-1,10,0.0,13.615054358399998,Pocillopora,born,none
1055,-1,11,0.0,23.533070457599997,Pocillopora_dead,born,none
1056,-1,12,0.0,1951.2941270723998,Pocillopora_dead,born,none
9,-1,13,0.0,133.87988667239998,Pocillopora,born,none
1057,-1,14,0.0,1.9818257975999996,Pocillopora_dead,born,none
14,-1,16,0.0,35.872824358799996,Pocillopora,born,none
1058,-1,17,0.0,61.04112327719999,Pocillopora_dead,born,none
1059,-1,18,0.0,19.5827495292,Pocillopora_dead,born,none
13,-1,19,0.0,288.564500664,Pocillopora,born,none
1060,-1,20,0.0,19.8138144204,Pocillopora,born,none
1061,-1,21,0.0,14.374902365999999,Pocillopora,born,none
1062,-1,23,0.0,334.5419704572,Pocillopora,born,none
21,-1,24,0.0,55.2911623308,Pocillopora,born,none
845,-1,25,0.0,343.18468609919995,Pocillopora_dead,born,none
848,-1,26,0.0,266.53779555479997,Pocillopora_dead,born,none
29,-1,28,0.0,118.354103406,Pocillopora,born,none
849,-1,29,0.0,2.0706969096,Pocillopora_dead,born,none
35,-1,31,0.0,32.171342544,Pocillopora,born,none
1063,-1,35,0.0,215.0280990396,Pocillopora_dead,born,none
1064,-1,36,0.0,316.35894094199995,Pocillopora_dead,born,none
38,-1,38,0.0,66.00457488240001,Pocillopora,born,none
1065,-1,39,0.0,3.1993600319999995,Pocillopora_dead,born,none
1066,-1,41,0.0,6.5675751768,Pocillopora,born,none
1067,-1,42,0.0,2.399520024,Pocillopora,born,none
1068,-1,43,0.0,115.96791404879997,Pocillopora_dead,born,none
1069,-1,44,0.0,52.61614185959999,Pocillopora_dead,born,none
1070,-1,45,0.0,7.7273431884,Pocillopora_dead,born,none
50,-1,46,0.0,78.66426478679999,Pocillopora,born,none
610,-1,47,0.0,290.57298779519994,Pocillopora,born,none
51,-1,50,0.0,18.3385539612,Pocillopora,born,none
1071,-1,51,0.0,72.42995628,Pocillopora_dead,born,none
