Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
1053,5,-1,1976.6712731039997,0.0,Pocillopora_dead,dead,none
1056,12,-1,1951.2941270723998,0.0,Pocillopora_dead,dead,none
1062,23,-1,334.5419704572,0.0,Empty,dead,none
46,33,-1,2059.676891712,0.0,Pocillopora_dead,dead,none
1064,36,-1,316.35894094199995,0.0,Empty,dead,none
57,49,-1,10240.547138870399,0.0,Pocillopora_dead,dead,none
1078,63,-1,241.3917144144,0.0,Empty,dead,none
1081,71,-1,141.5405765268,0.0,Empty,dead,none
1083,75,-1,82.7701101612,0.0,Empty,dead,none
89,109,-1,5779.395058694399,0.0,Pocillopora_dead,dead,none
157,176,-1,267.00436889279996,0.0,Pocillopora,dead,none
288,348,-1,20383.2694012068,0.0,Pocillopora_dead,dead,none
383,365,-1,3822.3465271199993,0.0,Pocillopora_dead,dead,none
1221,502,-1,2526.9789728304,0.0,Pocillopora_dead,dead,none
1237,576,-1,2475.8647527636,0.0,Pocillopora_dead,dead,none
