Blob1,Blob2,Area1,Area2 (live),Area2 (dead)
1,19;4;11,373.3430979564,669.2350218047999,21.489034881600002
2,3;8,260.40124527119997,300.2554954476,15.499121932799996
7,21;13,454.13138232,458.530502364,83.30778038879998
12,20;26,194.84991306,186.9314969808,24.9372340272
18,23;27;34,124.01074968479999,44.8443631152,50.372146281599996
35,44;39,98.39365165079998,43.72903065959999,187.93129699079998
48,33;44;58;59;66;68;75,530.1295137468,926.0769790403999,273.17202406559994
52,69;56;62;65;76,204.692388714,113.04849801959999,325.1305196964
53,57;74,364.8025840932,295.90969807079995,38.036835935999996
67,73;89;93;108;111;114,764.4826360907999,389.16659944799994,105.02343660599998
71,82;86,166.3311732192,209.16704920319998,7.087471181999999
75,91;92,87.9557395464,59.75693570879999,31.087114977599995
78,88;121,344.2511394431999,378.9286473456,24.5239833564
82,77;85,26.2436393736,72.785440728,71.18576071199999
94,100;112,42.7292306496,81.8325199296,69.2439269148
100,115;149,294.71882516999995,375.991457094,9.3048054264
106,129;131;139,176.29806842999997,150.91203528719998,118.27411940519998
109,135;138,72.64769050439999,63.5295144132,28.221021615599994
113,132;153;172,488.1734617716,520.4070140939999,126.36583415279998
116,137;148,58.7615792544,68.9106602448,11.291074779599999
118,145;163;174;176,369.56163214079993,378.05771044799997,90.38636445959997
129,150;156;162,227.4478369416,189.08217789119996,19.627185085199997
137,157;168;179,118.94065274519998,108.88932997799998,83.93876528399998
151,187;192;208;218,505.17894905279996,476.39359587599995,61.032236166000004
152,178;201,185.7272934132,215.13474437399998,23.972982461999994
153,180;184;201,117.954183402,89.28436267080001,40.48967862719999
161,182;191;223;239,662.9607212976,651.2208474024,59.04152325719999
162,196;200,305.6899639464,249.54119538479998,64.675951758
175,211;231,196.99615041479998,177.98661955799997,56.1487685616
176,206;225;235;236;247,408.3938645292,529.9295537447999,9.7580480976
179,202;216,531.22707198,582.639010272,76.895729658
183,217;220,189.21992811479998,119.44721808359998,70.02154914479999
193,221;233;251,275.0516480844,472.3321860575999,101.93072190839999
195,234;248;254,458.1172516932,404.21247870959996,142.6248040932
201,239;244,187.6869014328,97.9537396464,18.520739740799996
213,224;265,72.3988513908,424.6172860247999,6.4475991756
222,264;265,233.76212944919996,290.25749534759996,6.4475991756
224,253;268;271,219.2050413036,59.450330372399996,722.7931974516
237,253;277,24.750604691999996,157.1996664612,722.7931974516
241,293;301,261.2321901684,165.86904343679998,47.172786249599994
247,253;277,89.33768533799999,157.1996664612,722.7931974516
249,295;306;309;314,642.9202855415999,555.4666677779999,81.5303581488
251,305;319,552.8627441964,435.09963368519993,6.6786640668
254,299;298,61.0988895,51.33195429119999,277.7755476672
270,332;330,102.62391658199998,779.1597002375998,56.4731481204
272,324;326,217.01881194839996,157.06635979319998,64.2138219756
288,329;354;362;369,382.27464471239995,1120.2114796488,87.47139198599999
289,340;350,264.5426390904,300.4687861164,23.777466015599998
295,329;359,454.0913903196,1034.0909285651999,78.3354416724
298,338;344,159.65695270799998,217.24987683959998,1008.0694669715999
299,355;377;389;392,702.8416328075999,677.30896233,77.3356416624
309,363;384,313.9149853619999,348.197016816,63.169586409599994
310,364;388,279.68627657519994,262.2231030672,11.922059674799998
321,365;381,29.509652739599996,32.775666105599996,141.4517054148
325,385;386,100.92203478719999,100.07775922319999,13.028505019199999
326,382;397;413;427,324.2373650207999,362.59413695999996,53.838119649599996
342,406;413,170.1570745908,676.8779374368,52.202891188799995
381,439;462,349.60562394119995,362.7407742947999,11.060009888399998
391,454;463;473;475,321.79340944079996,336.71931270119995,30.105089189999998
396,460;474,163.82945141639996,155.30671177559998,16.041235716
403,479;500,366.06455388359996,332.0402486544,30.287274969599995
406,482;493;501,312.35085379079993,81.02379281039998,157.87508691239998
408,476;497;504,394.987657284,393.9878572739999,50.336597836799996
409,483;485;489,206.6831016228,203.0882651424,36.6237852552
412,484;509,249.305686938,251.9184976308,19.3161361932
424,524;503;510;523,328.3654281732,1005.1011718307999,26.230308706799995
435,509;514,183.6699271704,143.6557089924,19.3161361932
436,524;513;523,257.326304796,846.5817693563998,26.230308706799995
439,519;527,411.69986989559993,480.7349496971999,19.4449993056
446,530;543,384.0209620632,186.70487564519996,134.950783572
448,524;536;561,517.6564531775999,775.3426859771998,71.0968896
455,537;559,142.7136752052,90.61298579519999,21.395720213999997
469,550;557,70.50589670519999,22.306649112,31.2115345344
481,571;573,239.97866373359997,119.84713808759997,71.696769606
484,567;579;580;583,333.66659000399994,352.0273617431999,31.984713208799995
489,574;596;603,510.2890379928,498.07370364840006,64.2493704204
491,575;576;585,265.1825110968,251.3363918472,13.8594499164
495,582;591,146.69065746719997,166.72220611199998,7.1541245159999995
503,589;604;609,284.32534862159997,382.8478633848,25.310492697599997
509,598;613,282.17022415559995,333.4577428907999,19.293918415199997
510,599;610,229.38078362759995,238.85000061120002,34.0731843408
534,631;633,219.99155064480001,228.28766894999998,48.745804932
539,636;649,228.7720165104,234.6463970136,26.8035273792
545,644;654;657,120.931365654,500.8420387872,59.4725481504
