Period,Blob1,Blob2,Area1,Area2,Growth/Shrink
2017-2018,223,267,204.0702909,233.686589,Growth
2017-2018,225,243,255.7577297,792.090447,Growth
2017-2018,226,243,81.73031815,792.090447,Growth
2017-2018,227,269;284,478.9353097,555.0311993,Growth
2017-2018,229,256,91.53724536,793.050255,Growth
2017-2018,230,274,246.2174158,300.1177452,Growth
2017-2018,231,277,37.01481815,157.1996665,Growth
2017-2018,232,276,128.2721195,156.8397385,Growth
2017-2018,234,275,236.7570859,344.1667119,Growth
2017-2018,235,278,702.4905919,979.5107351,Growth
2017-2018,236,282,377.7999842,481.2770635,Growth
2017-2018,238,285,48.20369115,45.90192935,Shrink
2017-2018,242,287,427.5589198,457.6506784,Growth
2017-2018,243,289,554.2224722,666.8843809,Growth
2017-2018,245,288,348.3436542,454.7490365,Growth
2017-2018,246,292,125.9792448,122.077803,Shrink
2017-2018,250,296;297,164.6959448,101.4819228,Shrink
2017-2018,252,274,20.56477532,300.1177452,Growth
2017-2018,257,302,97.27387564,506.0010068,Growth
2017-2018,258,302,280.5305521,506.0010068,Growth
2017-2018,260,308,257.1796675,359.7724792,Growth
2017-2018,261,311,354.9823262,786.8825999,Growth
2017-2018,262,310,63.1606993,85.86726841,Growth
2017-2018,263,312,145.0065499,230.2828254,Growth
2017-2018,264,316;351,743.5223843,923.8818626,Growth
2017-2018,265,318;335,161.6654398,178.0132809,Growth
2017-2018,266,320,236.7215375,258.4416373,Growth
2017-2018,267,321,170.9746888,209.189267,Growth
2017-2018,268,328;322,56.64200323,801.2752765,Growth
2017-2018,269,323,154.6224042,168.2641199,Growth
2017-2018,271,325,88.61782933,203.399314,Growth
2017-2018,273,333,125.8459381,141.376165,Growth
2017-2018,274,329,157.524046,1034.090929,Growth
2017-2018,275,334,138.3456601,140.096421,Growth
2017-2018,276,308,19.51165264,359.7724792,Growth
2017-2018,277,329,239.4676548,1034.090929,Growth
2017-2018,278,327,325.7392868,481.2859506,Growth
2017-2018,280,328,770.1792744,781.6525349,Growth
2017-2018,281,311,245.1287447,786.8825999,Growth
2017-2018,283,332,555.9732331,779.1597002,Growth
2017-2018,284,337;339,229.8251392,263.6805893,Growth
2017-2018,286,335,3.954764484,59.77470993,Growth
2017-2018,287,342,32.62014166,57.10413302,Growth
2017-2018,292,343,37.05481015,75.07387186,Growth
2017-2018,294,345,68.77291002,84.05429773,Growth
2017-2018,296,346,37.14368126,59.64584682,Growth
2017-2018,300,358,340.2252781,396.5073533,Growth
2017-2018,301,352,71.82118916,113.9105478,Growth
2017-2018,302,357,335.6439722,473.7008012,Growth
2017-2018,303,356,391.0284492,520.158175,Growth
2017-2018,304,360,168.5307332,170.7347368,Growth
2017-2018,305,353,2.328423134,68.76402291,Growth
2017-2018,307,361,46.97282625,87.73356177,Growth
2017-2018,313,372,584.4297632,683.5832628,Growth
2017-2018,314,370,50.28327517,77.90441678,Growth
2017-2018,315,371,274.4695423,299.2290341,Growth
2017-2018,316,376,56.58423701,46.7373178,Shrink
2017-2018,317,373,151.6541091,194.3877833,Growth
2017-2018,319,374,182.5190463,257.2018852,Growth
2017-2018,320,379,166.4911412,327.5478139,Growth
2017-2018,323,375,586.171637,822.2444153,Growth
2017-2018,324,380,131.8936173,168.5707252,Growth
2017-2018,329,393,145.6730832,166.7844159,Growth
2017-2018,330,390,58.37498992,102.9127477,Growth
2017-2018,332,396,300.0555354,315.1147454,Growth
2017-2018,334,379,58.15281214,327.5478139,Growth
2017-2018,335,383,140.0742032,275.3893583,Growth
2017-2018,336,395,130.3650342,145.4997846,Growth
2017-2018,337,394;411,314.5593009,396.8139586,Growth
2017-2018,338,400,84.2275964,90.15974312,Growth
2017-2018,339,398;405,117.0610287,117.8875301,Growth
2017-2018,340,403;409,167.673127,127.9655142,Shrink
2017-2018,344,399,544.9976508,636.8103966,Growth
2017-2018,345,402,223.17758,254.624623,Growth
2017-2018,346,406,607.6384541,676.8779374,Growth
2017-2018,348,407,320.0648663,362.594137,Growth
2017-2018,349,415;404,93.64793427,1237.752412,Growth
2017-2018,350,408;423,169.5305333,238.6633713,Growth
2017-2018,352,417,334.3597847,194.2500331,Shrink
2017-2018,353,412,140.856269,170.7613982,Growth
2017-2018,354,414,230.0384299,381.7058696,Growth
2017-2018,355,418,106.6853264,137.1014645,Growth
2017-2018,358,420,126.4324875,165.9445839,Growth
2017-2018,359,424,146.7839721,185.6384223,Growth
2017-2018,361,415,919.3894279,1156.715289,Growth
2017-2018,362,421;457,395.8186022,418.9739704,Growth
2017-2018,363,425,221.8667311,287.2447647,Growth
2017-2018,364,428,161.7676416,224.3817836,Growth
2017-2018,366,429,461.9964757,668.1285765,Growth
2017-2018,368,419,55.79328411,138.7766849,Growth
2017-2018,369,431,48.07927159,404.0969463,Growth
2017-2018,370,431,278.8908801,404.0969463,Growth
2017-2018,371,432,327.1390068,347.2683137,Growth
2017-2018,372,433,449.9366658,415.7657233,Shrink
2017-2018,373,434,16.37005883,30.9049292,Growth
2017-2018,374,436,74.55841941,47.31942358,Shrink
2017-2018,378,450;438,454.2913503,1112.333056,Growth
2017-2018,379,442;452,194.5388642,289.6042927,Growth
2017-2018,380,431,1.324179569,404.0969463,Growth
2017-2018,382,431,129.8806866,404.0969463,Growth
2017-2018,383,443,116.7410927,153.3915393,Growth
2017-2018,384,444,78.01106211,105.1123077,Growth
2017-2018,385,447,274.922785,351.2675137,Growth
2017-2018,386,446;472,229.367453,188.8377823,Shrink
2017-2018,387,456;449,93.25690138,230.0695347,Growth
2017-2018,388,448,393.8323328,511.3021687,Growth
2017-2018,389,453,106.2187531,132.0535853,Growth
2017-2018,392,458,67.20877845,76.64244699,Growth
2017-2018,393,450,535.2707076,807.5406899,Growth
2017-2018,395,456,91.61278581,139.4609925,Growth
2017-2018,397,464,213.2462332,292.2126598,Growth
2017-2018,399,467,280.2639388,329.3341233,Growth
2017-2018,400,470,86.3293982,68.38632068,Shrink
2017-2018,402,471,61.08111528,75.60265498,Growth
2017-2018,404,478,133.7332493,207.1319007,Growth
2017-2018,405,468,229.647397,181.6303351,Shrink
2017-2018,407,477,56.60645479,75.8203892,Growth
2017-2018,410,481,84.38312084,296.2562954,Growth
2017-2018,413,481,80.97047014,296.2562954,Growth
2017-2018,414,488,166.153431,162.6830141,Shrink
2017-2018,415,487,318.3540974,343.775679,Growth
2017-2018,416,486,624.6928205,681.4236948,Growth
2017-2018,417,491,292.8392012,332.386846,Growth
2017-2018,418,492,533.7199067,661.7387435,Growth
2017-2018,419,496,26.55024471,38.24568305,Growth
2017-2018,421,498,157.5418202,201.9773762,Growth
2017-2018,422,495,59.87246815,57.03303613,Shrink
2017-2018,423,494,248.2570078,275.642641,Growth
2017-2018,426,481,80.19729147,296.2562954,Growth
2017-2018,427,502,78.59761145,79.06862835,Growth
2017-2018,431,501;508;521;533,478.6953577,355.3022622,Shrink
2017-2018,432,505,424.4662051,523.6197048,Growth
2017-2018,434,506,35.58399324,47.10613292,Growth
2017-2018,437,516,446.675096,599.6578282,Growth
2017-2018,440,517,212.5308208,272.1100143,Growth
2017-2018,441,522,245.8397136,279.6196232,Growth
2017-2018,443,518,116.1456563,206.5231336,Growth
2017-2018,444,526,256.2420772,285.6050926,Growth
2017-2018,445,525,214.4237755,375.3382544,Growth
2017-2018,447,529,106.8452944,99.74893611,Shrink
2017-2018,449,528,106.369834,103.3615468,Shrink
2017-2018,451,531,220.7291809,147.3705215,Shrink
2017-2018,453,534,76.3313981,45.69308223,Shrink
2017-2018,454,535,88.60005511,115.807946,Growth
2017-2018,457,540,38.47674794,59.01041837,Growth
2017-2018,458,541,56.48647879,91.23952713,Growth
2017-2018,459,538,169.2061537,287.0492482,Growth
2017-2018,460,539,193.7923468,316.1456503,Growth
2017-2018,461,551;552,177.2712071,158.963758,Shrink
2017-2018,463,545,123.1620306,107.0808028,Shrink
2017-2018,465,548,95.99857518,94.13228183,Shrink
2017-2018,466,546,595.5164344,731.1381949,Growth
2017-2018,467,549,95.41202584,170.4148008,Growth
2017-2018,470,558,75.23828342,402.0484671,Growth
2017-2018,471,556,214.0149684,303.0282741,Growth
2017-2018,473,560,15.07698415,40.26305729,Growth
2017-2018,474,558,285.6450846,402.0484671,Growth
2017-2018,475,553,105.3078242,174.7072755,Growth
2017-2018,479,564,42.54260131,144.1045081,Growth
2017-2018,480,566,212.6641275,207.1852234,Shrink
2017-2018,483,564,6.807527179,144.1045081,Growth
2017-2018,486,569,431.7936283,543.7934472,Growth
2017-2018,488,572,132.2535453,160.6834141,Growth
2017-2018,490,568,401.2486271,498.4025268,Growth
2017-2018,492,578;595,134.0487418,195.1787362,Growth
2017-2018,497,578,4.345797377,114.768154,Growth
2017-2018,498,592,303.1749115,234.7397117,Shrink
2017-2018,500,584,424.857238,553.4937291,Growth
2017-2018,501,586,403.6614778,430.3894647,Growth
2017-2018,504,588,47.75489203,70.70141315,Growth
2017-2018,506,593,136.6837703,320.4692299,Growth
2017-2018,508,600,112.3730776,127.8544253,Growth
2017-2018,512,597,57.62847258,83.3166675,Growth
2017-2018,513,608,274.9672205,283.0589353,Growth
2017-2018,515,614,154.2402584,166.4378186,Growth
2017-2018,516,605,85.25405774,103.5481761,Growth
2017-2018,517,606,180.4794542,217.7208937,Growth
2017-2018,519,607;616,237.1925544,297.5493701,Growth
2017-2018,520,593,177.4756107,320.4692299,Growth
2017-2018,521,612,137.0748031,214.5437515,Growth
2017-2018,522,611,118.9406527,142.0471419,Growth
2017-2018,523,618,26.52802693,44.06674089,Growth
2017-2018,524,617,50.59876762,69.73271803,Growth
2017-2018,525,619,34.60196746,61.86318106,Growth
2017-2018,526,622,239.0410735,302.779435,Growth
2017-2018,528,620,177.2578764,290.9684642,Growth
2017-2018,531,626,61.5388015,98.77579743,Growth
2017-2018,533,625;640,451.5141281,598.880206,Growth
2017-2018,535,630;651,321.9622646,350.5965368,Growth
2017-2018,536,634,186.051673,503.5303899,Growth
2017-2018,537,632,403.2882191,421.2446273,Growth
2017-2018,538,635,135.8439382,141.2384147,Growth
2017-2018,540,637,87.95129599,93.59016805,Growth
2017-2018,542,638,195.1031957,321.7445303,Growth
2017-2018,543,642,62.35197218,90.81738935,Growth
2017-2018,544,643,166.4467057,290.0042127,Growth
2017-2018,547,645,97.98928809,118.878443,Growth
2017-2018,549,650,114.8259203,106.5520197,Shrink
2017-2018,550,648,108.929322,141.7316494,Growth
2017-2018,551,634,241.8893926,503.5303899,Growth
2017-2018,553,655,157.9906194,226.6346663,Growth
2017-2018,554,658,58.7571357,56.48203523,Shrink
2017-2018,557,659,52.1717863,86.40049509,Growth
2017-2018,559,660,211.508803,323.4641863,Growth
2017-2018,568,685,106.0676722,134.2042662,Growth
2017-2018,569,679,26.92794694,48.05705381,Growth
2017-2018,572,683,15.32582326,39.62762884,Growth
2017-2018,574,691,38.00573105,54.76682277,Growth
2017-2018,575,688,242.4403935,244.6266229,Growth
2017-2018,576,690,84.11650751,116.7322056,Growth
2017-2018,578,672,348.8813244,567.3487355,Growth
2017-2018,580,696;716,564.6248359,642.6892207,Growth
2017-2018,581,698,8.207247193,217.5342644,Growth
2017-2018,582,704,90.1419689,131.4448182,Growth
2017-2018,585,694,412.1397819,590.1130708,Growth
2017-2018,586,698,134.8752431,217.5342644,Growth
2017-2018,587,703,108.809346,135.7683978,Growth
2017-2018,590,717;728;732,412.508597,410.0379801,Shrink
2017-2018,591,713,8.780465866,145.1620743,Growth
2017-2018,594,718,58.75269214,68.92843447,Growth
2017-2018,595,720,40.17418618,41.11177641,Growth
2017-2018,597,713,69.95489581,145.1620743,Growth
2017-2018,598,722,184.5675254,273.6785894,Growth
2017-2018,599,725,151.2275277,177.9288533,Growth
2017-2018,600,712,10.70452544,68.57739357,Growth
2017-2018,601,729,369.9082295,512.5508078,Growth
2017-2018,604,709,102.2106659,283.6988073,Growth
2017-2018,605,730,97.7182312,124.7217186,Growth
2017-2018,607,734,204.6523967,272.2699823,Growth
2017-2018,608,735;748;756,416.9877011,637.8101966,Growth
2017-2018,609,738,97.13168186,129.6451782,Growth
2017-2018,610,736,29.40300741,59.67250815,Growth
2017-2018,611,750,75.50489676,46.43959958,Shrink
2017-2018,612,740,232.3579659,257.9928381,Growth
2017-2018,614,742,114.2971371,143.2780068,Growth
2017-2018,615,744,15.01477437,48.07927159,Growth
2017-2018,616,745,480.3572475,653.3537541,Growth
2017-2018,617,748;757,141.8249641,258.5527261,Growth
2017-2018,620,749;761,146.9528272,143.7001445,Shrink
2017-2018,621,751,23.34644112,25.66597715,Growth
2017-2018,625,759,76.87351188,130.1250822,Growth
2017-2018,628,766,530.5916435,698.4336257,Growth
2017-2018,629,768,397.320524,578.5509391,Growth
2017-2018,631,777,32.60236744,47.57270625,Growth
2017-2018,632,775,173.2097973,228.9986378,Growth
2017-2018,636,782,92.99028804,144.3222423,Growth
2017-2018,637,784,113.4395309,158.163918,Growth
2017-2018,639,785,112.6441345,152.7338931,Growth
2017-2018,640,788,453.4381876,604.6568283,Growth
2017-2018,641,789,119.6960572,101.4286001,Shrink
2017-2018,643,791,63.06294108,81.33039815,Growth
2017-2018,644,792,64.32935442,77.81110211,Growth
2017-2018,646,793,49.62118539,75.56266298,Growth
2017-2018,648,795;796,129.0230804,159.5458638,Growth
2017-2018,650,797,67.67979534,113.7639105,Growth
2017-2018,652,800,122.7932155,154.0136371,Growth
2017-2018,653,802,33.19336033,44.63107245,Growth
2017-2018,655,805,86.31162397,45.35092845,Shrink
2017-2018,656,806,84.15649951,110.409026,Growth
2017-2018,1,19;4;11,373.343098,669.2350218,Shrink
2017-2018,2,3;8,260.4012453,300.2554954,Shrink
2017-2018,7,21;13,454.1313823,458.5305024,Shrink
2017-2018,12,20;26,194.8499131,186.931497,Shrink
2017-2018,18,23;27;34,124.0107497,44.84436312,Shrink
2017-2018,35,44;39,98.39365165,43.72903066,Shrink
2017-2018,48,33;44;58;59;66;68;75,530.1295137,926.076979,Shrink
2017-2018,52,69;56;62;65;76,204.6923887,113.048498,Shrink
2017-2018,53,57;74,364.8025841,295.9096981,Shrink
2017-2018,67,73;89;93;108;111;114,764.4826361,389.1665994,Shrink
