Blob1,Blob2,Area1,Area2,Growth/Shrink
0,2,945.0198565631998,1091.0439806903998,Growth
4,6,297.6249105324,242.50260331439998,Shrink
7,7,105.9654703932,66.65777755559999,Shrink
11,13,144.88657389359997,133.87988667239998,Shrink
20,24,79.78404079799999,55.2911623308,Shrink
25,27,193.339104156,145.8197205696,Shrink
33,31,38.934434167199996,32.171342544,Shrink
34,32,110.0935335456,105.79661528039998,Shrink
35,30,204.34134782159998,240.08975262359996,Growth
49,47,225.79483425839996,290.57298779519994,Growth
51,48,74.97611363879999,87.2892062064,Growth
60,57,223.79523423839998,259.014855924,Growth
61,40,42.8891986512,377.48893533119997,Growth
64,61,104.25470148719998,153.40042642319997,Growth
65,66,31.287074979599996,24.492878467199997,Shrink
69,65,163.0207242972,117.55426339799999,Shrink
70,64,289.3287922272,333.77767889399996,Growth
71,67,261.5876746164,210.80672121959998,Shrink
73,68,408.14058185999994,389.1177203364,Shrink
79,74,154.06251620759997,149.5389766068,Shrink
88,81,18.405207295199997,38.6322723864,Growth
95,85,170.565881706,204.31913004359998,Growth
98,87,153.02272419719998,96.4207129644,Shrink
100,89,234.45532412279996,232.8823054404,Shrink
103,91,96.8783991912,74.10962029679999,Shrink
107,93,141.51391519319998,134.2042662312,Shrink
110,99,87.0981333156,59.610298374,Shrink
114,98,108.44941797359999,104.27247570959999,Shrink
119,103,164.5626380904,170.69474481839998,Growth
122,104,309.32479242719995,347.90374214639996,Growth
124,111,89.71983111959999,70.696969596,Shrink
127,120,275.18495475239996,217.40095772999996,Shrink
129,118,157.2085535724,151.42748773679997,Shrink
138,124,167.09990833799998,169.2194843592,Growth
142,128,99.91779122159998,145.22872767479998,Growth
145,127,152.68945752719998,167.36207811839998,Growth
146,130,85.671751968,52.1317942992,Shrink
152,136,172.6721270604,146.5973427996,Shrink
154,135,93.87011204999999,122.36663411279999,Growth
155,128,56.970826347599996,145.22872767479998,Growth
156,140,198.338104206,197.28053797319998,Shrink
157,139,155.91103533719996,208.69158875399998,Growth
161,150,278.26878233879995,303.361540812,Growth
164,152,208.269450972,169.9971065892,Shrink
166,160,224.55063869039998,218.3296608504,Shrink
170,159,194.46776727839998,155.0845339956,Shrink
175,140,35.5528883556,197.28053797319998,Growth
181,166,156.7419802344,189.33101700479997,Growth
182,167,142.60702987079998,85.182960852,Shrink
184,174,161.2166407236,80.48167902719999,Shrink
186,172,250.77206028599997,269.235033804,Growth
196,193,96.80285874599998,50.13219427919999,Shrink
197,177,129.9473399664,95.5719938448,Shrink
201,186,147.370521474,61.07222816639999,Shrink
202,185,100.5887681172,127.61447327639999,Growth
204,187,227.94107161319997,293.76790427159995,Growth
207,188,416.5211277216,460.2057228252,Growth
214,196,113.85722513879999,115.63909093439999,Growth
217,198,60.4145819376,68.519627352,Growth
218,197;199,203.79479048279998,164.70483186959999,Shrink
227,207,470.95468382159993,503.7836725944,Growth
230,208,72.252214056,44.39556399959999,Shrink
231,205,88.48007910719998,65.19584776319999,Shrink
237,215,71.052454044,97.98484453559999,Growth
238,216,88.40009510639999,107.0141495148,Growth
245,217,243.995637996,236.28606903,Shrink
247,223,159.34590381599997,107.09413351559999,Shrink
253,225,98.34032898359999,112.1375691216,Growth
255,228,73.30978028879998,88.0846026588,Growth
263,236,127.9655141688,83.18336083199998,Shrink
268,234,302.9749514748,267.60869245439994,Shrink
270,235,39.614298174,134.0976208968,Growth
272,240,384.58973717999993,736.3104935868,Growth
280,250,190.2419459028,184.67417073599998,Shrink
286,258,167.88641767919998,168.21968434919995,Growth
292,263,75.10942030679999,46.22630890679999,Shrink
293,240,272.9720640636,736.3104935868,Growth
296,240,22.475504224799998,736.3104935868,Growth
301,264,132.40018265759997,151.5163588488,Growth
304,265,68.64404690880001,26.9368340472,Shrink
308,268,95.38536450960001,93.69681338159998,Shrink
312,279;283,351.96515196479993,220.1426315352,Shrink
313,268,26.3458411524,93.69681338159998,Growth
314,275,204.49687226759997,188.02461165839998,Shrink
315,274,149.036854824,167.94862745759997,Growth
321,281,105.88992994799999,113.02183668599999,Growth
325,292,298.1714678712,168.11303901479997,Shrink
326,285,373.3564286232,491.9504840315999,Growth
327,289,240.640753518,269.60829247439995,Growth
332,303,158.17280513759997,65.77350999119999,Shrink
338,297,124.29958079879998,156.83529490199996,Growth
341,301,237.3791837076,231.79807787399997,Shrink
344,302,195.8630437368,218.200797738,Growth
351,317,76.4247127644,65.16918642959999,Shrink
356,318,379.08417179159994,379.47964823999996,Growth
359,321,110.36014688159999,53.6070547584,Shrink
360,322,86.37827730839999,110.48900999399999,Growth
361,325,218.72958085439998,260.35236615959997,Growth
364,327,202.3728526908,154.3202424324,Shrink
366,328,183.85211294999996,240.37858373759994,Growth
374,329,362.2297654008,473.07425984279996,Growth
380,332,324.6195108024,364.5448578684,Growth
385,342,388.46451766319996,302.48616035879996,Shrink
388,350,283.64992817039996,183.05227294199997,Shrink
389,347,125.17496125199999,97.9537396464,Shrink
390,346,427.66112161079997,408.91820409,Shrink
392,345,188.9133227784,73.2875625108,Shrink
401,350;352,67.4798353416,273.6474845148,Growth
403,359,153.7781286492,103.21490947679999,Shrink
406,360,186.70487564519996,157.07969046,Shrink
412,361,191.75719836239998,38.0279488248,Shrink
414,362,338.93220339,387.32696742959996,Growth
415,364,86.5204710876,101.92627835279998,Growth
420,366,342.8247580956,391.1928608016,Growth
427,374,94.625516502,90.99957513240001,Shrink
441,388,151.52524595999998,104.10806415239999,Shrink
442,386,130.7427364188,114.55930692359999,Shrink
457,396,198.42253176239996,135.4040262432,Shrink
462,397,327.31674905159997,315.60353648999995,Shrink
466,400,138.23012760479997,184.451992956,Growth
473,402,130.6894137516,168.48629768520001,Growth
491,416,38.4323123844,62.8452068508,Growth
494,421,51.2608574016,59.3836770384,Growth
495,424,58.539401474399995,46.75509202319999,Shrink
503,430,59.21037837,84.2409270648,Growth
506,428,171.1924230456,190.75739835239997,Growth
507,423,36.53491414319999,305.7521737248,Growth
511,436,145.56199434479998,114.13716914159998,Shrink
512,429,501.1930796796,730.3916775276,Growth
518,448,450.5543200619999,507.55625129879996,Growth
525,452,229.5585258516,237.3125303736,Growth
537,468,266.0001253272,300.97979501040004,Growth
539,472,205.03898605079996,192.85920015119999,Shrink
541,479,93.27023204399998,126.5613505992,Growth
545,439;487,67.5109402308,826.3591478208,Growth
548,484,390.98401368839995,352.92940353,Shrink
552,490,333.4310815572,363.8427760836,Growth
553,447,141.70054452839997,447.5015973648,Growth
555,498;508;510;513,309.7291559868,119.1628305252,Shrink
564,500,391.2461834687999,420.5558762064,Growth
565,504,106.5075841764,92.15489958839999,Shrink
567,503,208.82933897759997,181.3770524808,Shrink
568,505,120.1404127572,123.70414434839999,Growth
578,523,474.2518020768,564.1804803096001,Growth
581,499,70.72363092959999,297.60713630999993,Growth
584,525,424.38177757799997,582.1324449336,Growth
585,527,132.79121555039998,146.7573108012,Growth
588,530;545,739.9986447347999,1116.6832965024,Growth
592,533,171.44126215919997,164.9403403164,Shrink
599,541,40.569662627999996,50.61209828399999,Growth
600,542,70.608098484,75.20717853,Growth
616,555,152.04069840959997,148.6547090424,Shrink
621,569,175.053872862,128.51207150759998,Shrink
625,560,35.6684208012,49.4656609392,Growth
626,535;565,64.8048148704,499.2912378827999,Growth
628,561,96.6606649668,134.5108715676,Growth
632,566,265.85793154799995,292.06157892119995,Growth
636,570,57.810658356000005,81.97027015319998,Growth
640,571,231.16709297879996,322.157781,Growth
643,577,190.8329387976,186.4382623092,Shrink
649,578,87.6802390992,110.511227772,Growth
650,581,169.53942036239997,174.59618663519996,Growth
652,582,66.6133419996,86.6182293108,Growth
654,585,34.4419994556,44.31113644319999,Growth
656,591,64.5693064236,112.9685140188,Growth
657,584,59.9524521552,76.30029320759999,Growth
659,586,152.5605944148,162.234214956,Growth
662,587,634.3442232335999,735.6839522472,Growth
663,591,65.35581576479998,112.9685140188,Growth
666,594,103.66815214799999,87.2092222056,Shrink
671,596,160.60787360639998,210.8511567756,Growth
675,600,153.6492655368,166.3489474416,Growth
682,606,173.5830559584,219.10728308039998,Growth
684,604,253.3404354228,399.01796221319995,Growth
694,619;629,317.4342813972,373.3519850676,Growth
697,604;626,165.0025500948,594.3344486112,Growth
698,624,681.5125659275999,691.4083642487999,Growth
700,615,42.43151242439999,207.30964296239995,Growth
703,631,93.03472359719999,89.9286782328,Shrink
704,632,79.4774354616,60.9078166092,Shrink
705,633,34.6019674572,139.66095250799998,Growth
707,634,200.06664733440002,319.73159964239994,Growth
709,636,160.3812522708,169.6060736964,Growth
713,641,161.3810522808,187.05591653759998,Growth
717,650,69.052854024,44.99988756119999,Shrink
