Blob1,Blob2,Area1,Area2
17,13,28.367658950399996,83.30778038879998
49,46,37.912416379199996,89.81758934279998
72,83,183.15447472079998,38.925547056
80,77,4.816814270399999,71.18576071199999
120,142,65.69352599039999,85.10297685119998
132,154,25.3460411424,87.004818648
133,142,44.3155799988,85.10297685119998
166,195,28.0566100584,33.526627002
171,195,1.133106678,33.526627002
214,266,164.77592875919999,80.850494142
244,294,196.98281974799997,214.4415497004
377,437,27.034592270399997,50.8520502864
398,465,96.40293874199999,137.65690893239997
462,547,67.6931260104,48.42586892879999
478,563,19.6049673072,52.136237854799994
507,587,74.82058919279999,130.23617108039997
588,710,75.2560576416,110.1246384348
596,723,122.2555452228,112.81298957279999
618,755,132.4490617692,36.4993656984
634,772,2.2884311339999996,61.4632610592
