Blob1,Blob2,Area1,Area2,Growth/Shrink
0,0,805.5721947239998,945.0198565631998,Growth
3,2,300.2554954476,312.89741112959996,Growth
4,4,247.06169135999997,297.6249105324,Growth
5,7,70.43924337119999,105.9654703932,Growth
12,11,122.94873989639999,144.88657389359997,Growth
14,13,189.01996811279997,245.72862467999997,Growth
18,15,317.36318450759995,406.8030716244,Growth
25,20,63.4228690788,79.78404079799999,Growth
29,25,166.9754887812,193.339104156,Growth
31,28,12.1353503436,14.1127325856,Growth
36,33,25.6304287008,38.934434167199996,Growth
37,32,125.02832391719998,137.216996928,Growth
38,35,143.61127343639998,204.34134782159998,Growth
40,39,30.260613635999995,22.973182451999996,Shrink
41,34,73.9985314068,110.0935335456,Growth
42,36,684.0365055084,780.6082993631999,Growth
45,40,30.21617808,27.3100927176,Shrink
48,44,65.6402033232,58.69492592039999,Shrink
49,43,247.43495003039996,322.12223255519996,Growth
54,43,32.9400776628,322.12223255519996,Growth
55,48,107.45850507479997,177.76888533359997,Growth
58,51,81.405938592,74.97611363879999,Shrink
59,49,137.8257640452,225.79483425839996,Growth
60,50,143.78901566039997,171.83673860759998,Growth
67,61,53.8203454272,42.8891986512,Shrink
70,60,176.28029420759998,223.79523423839998,Growth
71,64,92.07491558759999,104.25470148719998,Growth
78,65,18.991756634399998,31.287074979599996,Growth
79,69,138.105708048,163.0207242972,Growth
80,70,267.22210311719994,289.3287922272,Growth
82,71,209.16704920319998,261.5876746164,Growth
88,73,378.9286473456,408.14058185999994,Growth
96,79,126.2458581516,154.06251620759997,Growth
113,95,115.62131671200001,170.565881706,Growth
118,98,115.15029981839999,153.02272419719998,Growth
119,101,486.75596753519994,538.7055760548,Growth
122,100,196.18742329559998,234.45532412279996,Growth
124,103,81.68588259479999,96.8783991912,Growth
125,102,376.76463576839996,394.8676812828,Growth
129,107,106.96971395879999,141.51391519319998,Growth
133,116,26.150324705999996,19.55164464,Shrink
134,110,67.2354397836,87.0981333156,Growth
137,114,68.9106602448,108.44941797359999,Growth
140,121,76.02479276039999,61.0144619436,Shrink
145,119,273.50973429119995,164.5626380904,Shrink
146,122,249.97666383359996,309.32479242719995,Growth
147,124,99.70894410839999,89.71983111959999,Shrink
155,127,242.6092486488,275.18495475239996,Growth
160,128,61.9253908416,75.05165408399999,Growth
162,129,126.60134259959997,157.2085535724,Growth
164,133,53.93587787279999,76.5891243216,Growth
166,134,304.79680927079994,368.1752427936,Growth
170,137;159,165.211397208,141.98493208679997,Shrink
173,138,100.64209078439998,167.09990833799998,Growth
175,142,80.91270392039999,99.91779122159998,Growth
177,145,115.24805804159998,152.68945752719998,Growth
178,144,215.13474437399998,255.01565588399998,Growth
179,146,54.83347610399999,85.671751968,Growth
180,147,89.28436267080001,137.30142448439997,Growth
182,150,131.07600308879998,157.4174006856,Growth
190,152,133.2711195552,172.6721270604,Growth
193,153,198.9957504348,270.2259467028,Growth
194,155,34.8463630152,56.970826347599996,Growth
197,157,135.3418164648,155.91103533719996,Growth
198,154,62.196447733199996,93.87011204999999,Growth
200,161,249.54119538479998,278.26878233879995,Growth
203,138,2.8394320283999996,167.09990833799998,Growth
205,166,217.37429639639998,224.55063869039998,Growth
206,164,173.9252097396,208.269450972,Growth
209,159,43.0225053192,82.27687548959999,Growth
214,170,152.41395708,194.46776727839998,Growth
215,176,122.89541722919998,129.86735596559998,Growth
218,175,15.979025937599998,35.5528883556,Growth
219,177,57.47294813039999,63.7516921932,Growth
220,179,119.44721808359998,116.8477380576,Shrink
225,181,134.59974267959998,156.7419802344,Growth
227,182,127.59225549839998,142.60702987079998,Growth
228,184,155.0534291064,161.2166407236,Growth
229,183,117.24765806159998,146.35294724159996,Growth
231,186,177.98661955799997,250.77206028599997,Growth
236,196,153.9380966508,96.80285874599998,Shrink
240,201,133.8487817832,147.370521474,Growth
246,203,132.0358110984,145.19317923,Growth
247,202,67.46650467479999,100.5887681172,Growth
250,207,320.6203107624,416.5211277216,Growth
257,214,96.80285874599998,113.85722513879999,Growth
259,204,128.1921355044,227.94107161319997,Growth
261,217,24.755048247599998,60.4145819376,Growth
262,216,171.26351993519998,210.92669722079998,Growth
263,218,123.09982078679997,203.79479048279998,Growth
264,220,290.25749534759996,252.62502297119997,Shrink
267,221,233.68658900399998,221.044673322,Shrink
268,222,40.498565738399996,56.299849452,Growth
271,224,18.951764634,25.5859931448,Growth
274,226,300.117745224,336.665990034,Growth
