Blob1,Blob2,Area1,Area2 (live),Area2 (dead)
2,9;11,312.89741112959996,220.72918087439996,23.533070457599997
9,16;23,217.11657017159996,35.872824358799996,176.61800443319996
13,15;18,245.72862467999997,217.11212661599998,19.5827495292
15,12;17;19,406.8030716244,288.564500664,881.7391812635999
30,33;28,189.06440366879997,118.354103406,807.1940925179999
36,34;35;38;44,780.6082993631999,601.7107509071999,267.6442408992
38,19;26,37.6946821548,288.564500664,266.53779555479997
42,37;53,542.0560169771999,383.2611140556,13.2817876884
43,40;45,322.12223255519996,377.48893533119997,7.7273431884
45,3;54,336.62599803359996,170.85915637559995,1123.3041943464
47,46;60,334.72415623679996,78.66426478679999,100.14885611279999
48,52;43,177.76888533359997,257.5084905756,115.96791404879997
50,50;51,171.83673860759998,18.3385539612,72.42995628
58,58;55,182.45683649159997,3.8436755939999996,1310.3067882167998
62,52;70;71,260.4856728276,257.5084905756,178.02661155839996
74,58;79,344.45109944519993,2.2262213556,1310.3067882167998
101,92;96;97;105;106;110;119;122;123,538.7055760548,34.1309505636,105.3611468316
102,90;94;117,394.8676812828,309.982438656,102.08624635439999
106,102;115,100.8198330084,2.0618097983999997,73.3364416224
121,112;100,61.0144619436,22.3155362232,94.00341871799999
133,114;125,76.5891243216,189.36212189399998,90.0886462344
136,121;134;148,258.88154925599997,277.93551566879995,21.4801477704
140,49;126,229.91401029959994,169.35723458279998,1910.9155373351998
144,129;131;133;149,255.01565588399998,194.7477112812,61.7343179508
147,125;149,137.30142448439997,189.36212189399998,7.1674551827999995
150,82;143;145;153,157.4174006856,12.690794793599999,907.6140055224
153,146;142,270.2259467028,108.20946597119999,581.8702751531999
167,164;176,332.94229044119993,83.9520959508,161.0700033888
174,147;168,263.39175818999996,55.80217122479999,732.8667379967999
176,139;170,129.86735596559998,208.69158875399998,5.0167742724
179,169;173,116.8477380576,15.685751267999999,1.1064453444
191,181;184;191,315.8657062703999,117.21210961679999,154.9867757724
192,146;178,36.18387325079999,17.88531129,581.8702751531999
203,182;189,145.19317923,172.02781149839996,13.66393347
215,194;197,66.91994733599999,46.395164019599996,172.89874839599997
219,201;203,137.59469915399998,108.3916517508,6.0521227271999996
221,162;214,221.044673322,75.4337998656,2199.9554984484
225,194;212,211.02445544399998,119.509427862,172.89874839599997
226,156;204;227,336.665990034,138.37676493959998,1927.2811526099997
234,213;214;222;226;231,611.8020656747999,669.7993533659999,48.65693381999999
240,220;221,407.92729119119997,251.1231011784,5.518896055199999
248,218;229,408.14946897119995,242.3337482016,377.74221800039993
252,162;224,155.1111953292,151.347503736,2199.9554984484
261,230;238;243;255;259,489.99531956759995,464.0582855304,90.01754934479999
262,235;226,46.946164914,134.0976208968,43.0669408752
264,237;239;242;249,413.9749703627999,249.82558294319998,71.5945678272
274,232;245,160.4079136044,34.037635896,2132.2223804376
275,211;254,45.5153400108,7.900641856799999,1967.2998143435998
276,244;256,321.7667481072,330.37835886,41.3828333028
277,247;252;256,246.03078646079996,136.21275336239998,57.228552572400005
282,248;261,195.605317512,142.7358929832,6.860849846399999
289,200;260;273,337.7102256,263.35176618959997,2025.0127144763997
