Blob1,Blob2,Area1,Area2 (live),Area2 (dead)
295,262;267;276,324.93055969439996,284.92967218319995,69.341685138
302,269;266,72.9098602848,68.73736157639999,582.6434538276
306,257;272,38.7966839436,30.958251865199994,1962.8251538544
316,278;287,317.97639518039995,236.99703792599996,4.5013218228
317,280;286,420.89358643199995,346.108545684,141.6116734164
318,282;290,130.1428564128,45.73307423519999,11.0466792216
329,232;294,75.1894043076,36.86373725759999,2132.2223804376
330,290;296;304;310,395.97857018279996,369.25947035999997,58.8682245888
331,288;293,37.25477015039999,230.4072449712,93.81234582719999
333,305;312,115.77684115799998,25.092758473199996,39.9297906216
335,200;300,33.7887967824,3.6526027031999995,2021.8666771115998
340,299;307;314;315,254.85124432679996,184.43421873359998,19.125063302399997
343,270;308,209.1626056476,85.9072604148,1326.4946612676001
346,270;316;324;331;337,306.96082084799997,78.2554576716,1329.0674799600001
349,306;313;326,301.6907639064,77.73556166639999,180.1461875796
350,257;309,132.02692398719998,38.49007860719999,1962.8251538544
353,257;320,174.68950130279998,92.76811026119998,1962.8251538544
370,323;339,137.6524653768,13.139593909199998,153.76479798239998
373,335;336;338,245.26649489759998,203.95475848439997,38.1879168264
384,330;341;354;356,311.982038676,262.54303907039997,2964.7669576535995
386,330;344,33.8643372276,14.739273925200001,2964.7669576535995
413,346;353,6.829744957199999,408.91820409,366.62444188919994
423,330;375,170.2503892584,52.136237854799994,2964.7669576535995
425,370;372;393,356.3864897867999,330.4805606388,74.95833941639998
426,371;378;380,376.7379744348,307.9250724132,22.4355122244
429,377;378;387,118.73180563199999,65.3824770984,22.4355122244
432,379;395,389.1932607816,284.08539661919997,7.7851094112
433,373;384,114.99921892799999,42.946964873999995,63.9116601948
439,348;391,298.2781132056,100.19329166879999,8532.4888017864
448,330;394,40.9606955208,35.8994856924,2964.7669576535995
454,348;389,87.3247546512,74.87391185999999,8532.4888017864
464,348;398;399,99.14905610279999,96.89617341359998,8532.4888017864
467,348;401,117.68312651039997,2.8261013615999997,8532.4888017864
475,392;411,89.2088222256,54.63795965759999,783.6521349492
476,348;406,217.01436839279998,156.11543889479998,8532.4888017864
478,348;408;414,83.3877643896,29.731830519599995,8532.4888017864
479,348;437;440,856.7797294584,26.692438489199997,8532.4888017864
481,365;415,84.16983017519999,21.0224615436,2186.0160645312
486,418;410,350.92980351,342.94917765239995,28.43875584
496,422;441,285.59620552319996,256.5664567884,1.2042035675999998
497,423;433;458,366.83328900239997,305.7521737248,102.29064991199999
498,425;432,597.3205179743999,687.6668904335999,13.077384130799999
502,405;431;446,200.83982600879997,398.21812220519996,92.74589248320001
515,425;442,21.7556482176,687.6668904335999,39.8453630652
516,443;444;460;470;478;485,466.9288224479999,195.871930848,147.65046547679998
523,447;453,327.0812406048,447.5015973648,50.021105389199995
529,439;465,21.671220661199996,756.2220662304,36.7082128116
530,457;461;467;474;475,315.92347249319994,303.6414848147999,62.2275526224
532,451;463,100.3843645596,58.54384502999999,369.90822947759995
535,464;469;486,280.7127379188,212.0997958992,67.20433489439999
536,459;471,186.48269786519998,173.05871639759997,57.6062547984
540,465;476,155.77772866919997,127.30342438439999,36.7082128116
551,491;493,362.638572516,310.03576132319995,44.951008449599996
559,494;496,98.78468454359998,108.067272192,56.019905449199996
561,499;509,350.3388106152,297.60713630999993,51.940721408399995
571,515;516,418.75623618839995,322.98428234159996,217.9830635136
572,512;521,176.7913031016,201.5196900156,10.069096989599998
574,507;517,377.08457177159994,317.6209107324,236.94371525879995
575,514;520,108.3294419724,70.67475181799999,35.8994856924
586,534;529;531;536;544;558,228.62537917559996,86.8626248688,357.6795644664
594,535;538,386.3849336424,416.69442638999993,22.120019776799996
595,530;532,262.20977240039997,469.63939136399995,84.7785972924
598,525;539;543;550;564,330.2139473028,598.4091890964,313.73724313799994
604,543;547;548,173.3253297336,102.75722324999998,158.06171624759997
619,554;567,272.07890938799994,301.0686661224,39.281031504
627,534;558,23.368658900399996,34.970782572,357.6795644664
630,552;563,193.48574149079997,90.57743735039999,688.1334637716
634,574;568,98.5891680972,81.4859225928,442.58702487119996
641,522;575;590;602;607,446.7906284688,212.40195767999998,3460.1878586087996
646,580;583,319.5316396404,302.15733724439997,17.7031255104
660,589;592,320.2381649808,259.40144526119997,1007.5940065224
668,579;597;601,302.583918582,278.2910001168,509.5958433192
673,598;605;608,316.42559427599997,285.72951219119994,40.836275963999995
681,598;611,54.646846768799996,278.12658855959995,3.3682151447999997
685,610;607,295.0476482844,302.25065191199997,7.5451574088
687,589;612,61.214421945599995,5.949920948399999,1007.5940065224
691,615;618;623;627,213.92609725079998,234.93967168319995,93.95453960639999
692,617;616;620,182.19911026679998,193.12581348719996,13.7839094712
706,634;643,72.274431834,319.73159964239994,4.421337821999999
711,642;639;644,62.76966640559999,5.510008943999999,107.97840107999998
