Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
26,-1,27,0.0,118.6695958536,Pocillopora,born,none
33,-1,34,0.0,109.06262864639999,Pocillopora,born,none
47,-1,48,0.0,226.58578715520002,Pocillopora,born,none
61,-1,64,0.0,87.93352176839998,Pocillopora,born,none
95,-1,102,0.0,32.59348032599999,Pocillopora,born,none
100,-1,108,0.0,658.3038750288,Empty,born,none
106,-1,115,0.0,103.57483748039998,Pocillopora,born,none
110,-1,120,0.0,111.38660822519998,Pocillopora,born,none
121,-1,133,0.0,102.17511746639998,Pocillopora,born,none
155,-1,175,0.0,129.7118315196,Pocillopora,born,none
170,-1,191,0.0,91.86162491879999,Pocillopora,born,none
173,-1,194,0.0,265.4046888768,Pocillopora,born,none
220,-1,251,0.0,376.8001842132,Pocillopora,born,none
230,-1,264,0.0,38.1656990484,Pocillopora,born,none
231,-1,265,0.0,107.08524640439998,Pocillopora,born,none
247,-1,284,0.0,40.0275488448,Pocillopora,born,none
249,-1,286,0.0,705.3566852772,Pocillopora,born,none
284,-1,322,0.0,189.7975903428,Pocillopora,born,none
308,-1,350,0.0,423.61304245919996,Empty,born,none
326,-1,371,0.0,308.138363082,Pocillopora,born,none
336,-1,382,0.0,8.9493209784,Empty,born,none
398,-1,448,0.0,25.772622479999995,Pocillopora,born,none
494,-1,555,0.0,159.6036300408,Empty,born,none
505,-1,566,0.0,124.5706376904,Pocillopora,born,none
522,-1,584,0.0,24.479547800399995,Pocillopora,born,none
529,-1,592,0.0,102.3661903572,Empty,born,none
580,-1,645,0.0,26.141437594799996,Empty,born,none
582,-1,647,0.0,7.274100517199998,Empty,born,none
584,-1,649,0.0,18.756248187599997,Empty,born,none
592,-1,658,0.0,231.08710897799995,Pocillopora,born,none
593,-1,659,0.0,72.45661761359999,Pocillopora,born,none
594,-1,660,0.0,124.1840483532,Empty,born,none
595,-1,661,0.0,108.18280463759999,Empty,born,none
596,-1,662,0.0,90.9551395764,Empty,born,none
597,-1,663,0.0,250.7409553968,Empty,born,none
598,-1,664,0.0,30.2650571916,Empty,born,none
599,-1,665,0.0,11.833188562799998,Empty,born,none
600,-1,666,0.0,134.8441382376,Pocillopora,born,none
132,-1,667,0.0,43.41353821199999,Empty,born,none
601,-1,668,0.0,143.26911965519997,Empty,born,none
602,-1,669,0.0,176.0625599832,Pocillopora,born,none
603,-1,670,0.0,34.2109345644,Empty,born,none
604,-1,671,0.0,14.1571681416,Empty,born,none
605,-1,672,0.0,32.82454521719999,Empty,born,none
606,-1,673,0.0,155.8177206696,Pocillopora,born,none
607,-1,674,0.0,491.88383069759993,Pocillopora,born,none
608,-1,675,0.0,86.02279286039999,Pocillopora,born,none
609,-1,676,0.0,175.64042220119998,Empty,born,none
610,-1,677,0.0,245.77750379159997,Empty,born,none
611,-1,678,0.0,73.4875225128,Empty,born,none
612,-1,679,0.0,87.90241687919999,Empty,born,none
613,-1,680,0.0,57.52627079759999,Empty,born,none
614,-1,681,0.0,36.44159947559999,Empty,born,none
615,-1,682,0.0,21.164655322799995,Empty,born,none
616,-1,683,0.0,285.72062507999993,Pocillopora,born,none
617,-1,684,0.0,34.815258125999996,Empty,born,none
618,-1,685,0.0,54.76237921439999,Empty,born,none
619,-1,686,0.0,60.841163275199996,Empty,born,none
620,-1,687,0.0,98.8824427668,Empty,born,none
621,-1,688,0.0,52.14068141039999,Empty,born,none
622,-1,689,0.0,63.640603303199995,Empty,born,none
623,-1,690,0.0,10.757848107599997,Empty,born,none
624,-1,691,0.0,96.33628540799998,Empty,born,none
625,-1,692,0.0,14.5170961452,Empty,born,none
626,-1,693,0.0,99.62451655199999,Empty,born,none
814,5,-1,1976.6712731039997,0.0,Pocillopora_dead,dead,none
632,12,-1,1951.2941270723998,0.0,Pocillopora_dead,dead,none
597,23,-1,334.5419704572,0.0,Empty,dead,none
46,33,-1,2059.676891712,0.0,Pocillopora_dead,dead,none
847,36,-1,316.35894094199995,0.0,Empty,dead,none
58,49,-1,10240.547138870399,0.0,Pocillopora_dead,dead,none
64,52,-1,164.167161642,0.0,Pocillopora,dead,none
155,63,-1,241.3917144144,0.0,Empty,dead,none
779,71,-1,141.5405765268,0.0,Empty,dead,none
613,75,-1,82.7701101612,0.0,Empty,dead,none
635,82,-1,93.22135293239998,0.0,Pocillopora,dead,none
90,109,-1,5779.395058694399,0.0,Pocillopora_dead,dead,none
158,176,-1,267.00436889279996,0.0,Pocillopora,dead,none
289,348,-1,20383.2694012068,0.0,Pocillopora_dead,dead,none
383,365,-1,3822.3465271199993,0.0,Pocillopora_dead,dead,none
762,502,-1,2526.9789728304,0.0,Pocillopora_dead,dead,none
782,576,-1,2475.8647527636,0.0,Pocillopora_dead,dead,none
