Image name,TagLab Id,TagLab Type,TagLab Date,TagLab Class name,TagLab Genet Id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
Plot18_2018_IMAGE.tif,644,Region,2018-01-01,Pocillopora,488,1941.5,6507.5,428.23,830.18,113.5,
Plot18_2018_IMAGE.tif,645,Region,2018-01-01,Pocillopora,487,670.5,6430.1,118.88,210.42,49.0,
Plot18_2018_IMAGE.tif,646,Region,2018-01-01,Pocillopora_dead,765,6676.5,6394.7,38.21,71.03,27.7,
Plot18_2018_IMAGE.tif,647,Region,2018-01-01,Pocillopora,610,8398.3,6507.1,339.26,714.79,103.7,
Plot18_2018_IMAGE.tif,648,Region,2018-01-01,Pocillopora,490,3492.8,6454.4,141.73,264.57,55.2,
Plot18_2018_IMAGE.tif,649,Region,2018-01-01,Pocillopora_dead,491,3075.4,6419.2,26.8,64.98,27.7,
Plot18_2018_IMAGE.tif,650,Region,2018-01-01,Pocillopora,489,7129.9,6455.7,106.55,177.99,46.1,
Plot18_2018_IMAGE.tif,651,Region,2018-01-01,Pocillopora,475,1043.5,6465.1,81.56,159.09,45.6,
Plot18_2018_IMAGE.tif,652,Region,2018-01-01,Pocillopora,486,6615.4,6574.1,312.53,646.13,92.0,
Plot18_2018_IMAGE.tif,653,Region,2018-01-01,Pocillopora_dead,766,7478.3,6482.5,71.75,103.87,36.7,
Plot18_2018_IMAGE.tif,654,Region,2018-01-01,Pocillopora_dead,767,1781.4,6498.3,59.47,110.31,42.3,
Plot18_2018_IMAGE.tif,655,Region,2018-01-01,Pocillopora,492,840.5,6564.1,226.63,359.41,81.6,
Plot18_2018_IMAGE.tif,656,Region,2018-01-01,Pocillopora_dead,768,6285.1,6516.3,81.97,152.64,44.1,
Plot18_2018_IMAGE.tif,657,Region,2018-01-01,Pocillopora,769,1710.5,6543.5,72.61,145.56,43.9,
Plot18_2018_IMAGE.tif,658,Region,2018-01-01,Pocillopora,493,3303.2,6530.8,56.48,101.23,39.5,
Plot18_2018_IMAGE.tif,659,Region,2018-01-01,Pocillopora,496,4136.7,6607.0,86.4,162.76,49.4,
Plot18_2018_IMAGE.tif,660,Region,2018-01-01,Pocillopora,498,5336.9,6692.5,323.46,693.86,96.7,
