Image name,TagLab Id,TagLab Type,TagLab Date,TagLab Class name,TagLab Genet Id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
2017-image.tif,0,Region,2017-01-01,Pocillopora_dead,0,7120.6,111.6,96.67,155.4,42.0,
2017-image.tif,1,Region,2017-01-01,Pocillopora,1,5295.5,313.0,373.34,661.72,110.0,
2017-image.tif,2,Region,2017-01-01,Pocillopora,2,6073.3,261.5,260.4,466.97,68.1,
2017-image.tif,3,Region,2017-01-01,Pocillopora,3,7916.6,231.7,53.99,109.07,32.1,
2017-image.tif,4,Region,2017-01-01,Pocillopora,4,6352.3,384.1,295.11,480.16,101.1,
2017-image.tif,5,Region,2017-01-01,Pocillopora,5,6935.6,399.9,401.96,737.96,179.5,
2017-image.tif,6,Region,2017-01-01,Pocillopora_dead,6,1822.9,280.4,89.32,180.6,44.6,
2017-image.tif,7,Region,2017-01-01,Pocillopora,7,1791.3,454.5,454.13,810.91,124.1,
2017-image.tif,8,Region,2017-01-01,Pocillopora,8,458.5,384.2,154.54,239.97,53.5,
2017-image.tif,9,Region,2017-01-01,Pocillopora,9,2573.7,442.2,209.98,336.51,80.0,
2017-image.tif,10,Region,2017-01-01,Pocillopora,10,5709.0,334.9,25.17,32.55,21.0,
2017-image.tif,11,Region,2017-01-01,Pocillopora,11,4344.6,410.3,120.47,209.83,51.1,
2017-image.tif,12,Region,2017-01-01,Pocillopora,12,913.1,431.3,194.85,264.69,63.0,
2017-image.tif,13,Region,2017-01-01,Pocillopora,13,2109.7,489.2,218.79,347.09,119.7,
2017-image.tif,14,Region,2017-01-01,Pocillopora,14,1407.9,439.6,191.63,260.2,65.2,
2017-image.tif,15,Region,2017-01-01,Pocillopora,7,1883.0,340.5,3.47,6.25,8.0,
2017-image.tif,16,Region,2017-01-01,Pocillopora_dead,15,2531.4,364.6,8.69,21.92,13.3,
2017-image.tif,17,Region,2017-01-01,Pocillopora,16,1564.4,385.4,28.37,46.63,25.8,
2017-image.tif,18,Region,2017-01-01,Pocillopora,17,1196.8,449.3,124.01,182.49,50.4,
2017-image.tif,19,Region,2017-01-01,Pocillopora_dead,18,5194.9,487.8,303.35,527.16,95.1,
2017-image.tif,20,Region,2017-01-01,Pocillopora_dead,19,8410.9,390.4,7.51,12.92,11.4,
