Image name,TagLab Id,TagLab Type,TagLab Date,TagLab Class name,TagLab Genet Id,TagLab Centroid x,TagLab Centroid y,TagLab Area,TagLab Surf. area,TagLab Perimeter,TagLab Note
Plot18_2020_IMAGE.tif,123,Region,2020-01-01,Pocillopora_dead,966,3553.5,1570.8,4.1,7.17,8.6,
Plot18_2020_IMAGE.tif,124,Region,2020-01-01,Pocillopora,136,7762.2,1697.5,169.22,345.61,74.6,
Plot18_2020_IMAGE.tif,125,Region,2020-01-01,Pocillopora,140,1974.5,1737.2,189.36,305.89,92.8,
Plot18_2020_IMAGE.tif,127,Region,2020-01-01,Pocillopora,137,7428.3,1730.7,167.36,285.69,59.7,
Plot18_2020_IMAGE.tif,128,Region,2020-01-01,Pocillopora,133,8029.8,1726.4,145.23,207.59,74.5,
Plot18_2020_IMAGE.tif,129,Region,2020-01-01,Pocillopora,139,1695.2,1790.4,178.12,337.61,82.0,
Plot18_2020_IMAGE.tif,130,Region,2020-01-01,Pocillopora,672,8224.7,1735.6,52.13,94.96,36.5,
Plot18_2020_IMAGE.tif,131,Region,2020-01-01,Pocillopora_dead,967,1772.6,1737.9,54.57,89.04,36.5,
Plot18_2020_IMAGE.tif,133,Region,2020-01-01,Pocillopora,139,1842.6,1715.4,16.63,25.79,22.4,
Plot18_2020_IMAGE.tif,134,Region,2020-01-01,Pocillopora_dead,968,6720.0,1743.2,21.48,31.66,20.7,
Plot18_2020_IMAGE.tif,135,Region,2020-01-01,Pocillopora,633,7015.2,1820.3,122.37,181.56,53.6,
Plot18_2020_IMAGE.tif,136,Region,2020-01-01,Pocillopora,149,1500.1,1828.8,146.6,258.87,62.0,
Plot18_2020_IMAGE.tif,137,Region,2020-01-01,Pocillopora_dead,183,3737.7,1812.3,64.37,91.25,41.6,
Plot18_2020_IMAGE.tif,138,Region,2020-01-01,Pocillopora_dead,969,8434.0,1808.6,43.04,96.8,37.7,
Plot18_2020_IMAGE.tif,139,Region,2020-01-01,Pocillopora,152,2527.1,1886.4,208.69,365.8,77.3,
Plot18_2020_IMAGE.tif,143,Region,2020-01-01,Pocillopora,77,1283.1,1774.6,2.0,3.34,5.5,
Plot18_2020_IMAGE.tif,144,Region,2020-01-01,Pocillopora_dead,820,4699.5,1822.9,20.8,32.14,23.3,
Plot18_2020_IMAGE.tif,145,Region,2020-01-01,Pocillopora,77,1343.4,1802.1,5.91,8.46,10.0,
Plot18_2020_IMAGE.tif,146,Region,2020-01-01,Pocillopora_dead,688,4511.8,2063.8,581.87,1010.36,119.4,
Plot18_2020_IMAGE.tif,147,Region,2020-01-01,Pocillopora_dead,188,7384.8,2101.6,732.87,1311.95,205.2,
Plot18_2020_IMAGE.tif,148,Region,2020-01-01,Pocillopora,134,6646.8,1862.5,84.79,141.16,41.6,
Plot18_2020_IMAGE.tif,149,Region,2020-01-01,Pocillopora_dead,970,1849.8,1827.3,7.17,8.41,11.4,
Plot18_2020_IMAGE.tif,150,Region,2020-01-01,Pocillopora,147,3978.9,1937.2,303.36,579.97,91.6,
Plot18_2020_IMAGE.tif,151,Region,2020-01-01,Pocillopora_dead,971,8266.0,1841.0,13.58,24.4,16.9,
Plot18_2020_IMAGE.tif,152,Region,2020-01-01,Pocillopora,154,6859.5,1930.6,170.0,339.7,67.0,
Plot18_2020_IMAGE.tif,153,Region,2020-01-01,Pocillopora,77,1317.0,1838.4,4.78,7.82,8.9,
Plot18_2020_IMAGE.tif,154,Region,2020-01-01,Pocillopora,972,3795.1,1863.9,27.63,43.44,22.6,
Plot18_2020_IMAGE.tif,157,Region,2020-01-01,Pocillopora_dead,58,5301.7,1935.2,77.42,121.8,37.9,
Plot18_2020_IMAGE.tif,158,Region,2020-01-01,Pocillopora_dead,973,6466.3,1879.4,2.49,3.27,7.1,
Plot18_2020_IMAGE.tif,159,Region,2020-01-01,Pocillopora,167,638.4,2005.2,155.08,218.04,57.4,
Plot18_2020_IMAGE.tif,160,Region,2020-01-01,Pocillopora,156,2777.1,1993.0,218.33,385.84,80.9,
Plot18_2020_IMAGE.tif,161,Region,2020-01-01,Pocillopora_dead,58,5088.9,1904.1,6.07,7.8,11.3,
Plot18_2020_IMAGE.tif,163,Region,2020-01-01,Pocillopora_dead,824,6393.2,2127.8,265.75,509.65,95.5,
Plot18_2020_IMAGE.tif,164,Region,2020-01-01,Pocillopora_dead,822,446.6,2020.7,161.07,287.29,57.6,
Plot18_2020_IMAGE.tif,165,Region,2020-01-01,Pocillopora_dead,974,7969.0,1991.5,78.39,134.21,42.9,
Plot18_2020_IMAGE.tif,166,Region,2020-01-01,Pocillopora,158,6616.1,2079.7,189.33,382.61,75.2,
Plot18_2020_IMAGE.tif,167,Region,2020-01-01,Pocillopora,171,4741.0,2075.9,85.18,128.85,53.2,
Plot18_2020_IMAGE.tif,168,Region,2020-01-01,Pocillopora,162,7390.8,2044.4,55.8,82.26,41.1,
Plot18_2020_IMAGE.tif,169,Region,2020-01-01,Pocillopora_dead,975,3087.9,1980.7,1.11,1.45,4.2,
Plot18_2020_IMAGE.tif,170,Region,2020-01-01,Pocillopora_dead,976,2573.0,1995.4,5.02,12.57,10.3,
Plot18_2020_IMAGE.tif,171,Region,2020-01-01,Pocillopora,977,7049.3,2009.0,9.34,14.94,12.2,
Plot18_2020_IMAGE.tif,172,Region,2020-01-01,Pocillopora,61,8219.3,2117.1,269.24,550.73,77.7,
Plot18_2020_IMAGE.tif,173,Region,2020-01-01,Pocillopora,165,2998.5,2023.3,15.69,25.08,17.1,
Plot18_2020_IMAGE.tif,174,Region,2020-01-01,Pocillopora,184,7765.0,2093.7,80.48,147.74,50.2,
Plot18_2020_IMAGE.tif,175,Region,2020-01-01,Pocillopora_dead,978,6762.2,2035.9,4.15,6.46,8.5,
Plot18_2020_IMAGE.tif,177,Region,2020-01-01,Pocillopora,979,1863.5,2163.5,95.57,138.43,57.0,
Plot18_2020_IMAGE.tif,178,Region,2020-01-01,Pocillopora,153,4319.3,2099.5,17.89,22.92,19.7,
Plot18_2020_IMAGE.tif,179,Region,2020-01-01,Pocillopora_dead,824,6169.3,2130.0,24.49,44.39,23.7,
Plot18_2020_IMAGE.tif,180,Region,2020-01-01,Pocillopora,980,3810.1,2120.3,11.95,24.71,20.3,
Plot18_2020_IMAGE.tif,182,Region,2020-01-01,Pocillopora,189,8040.3,2263.0,172.03,289.46,98.3,
Plot18_2020_IMAGE.tif,184,Region,2020-01-01,Pocillopora_dead,684,4969.4,2224.3,142.54,230.18,67.5,
Plot18_2020_IMAGE.tif,185,Region,2020-01-01,Pocillopora,641,6820.8,2259.7,127.61,230.49,53.8,
Plot18_2020_IMAGE.tif,186,Region,2020-01-01,Pocillopora,187,591.8,2198.8,61.07,93.77,36.3,
Plot18_2020_IMAGE.tif,187,Region,2020-01-01,Pocillopora,191,4163.6,2319.7,293.77,550.91,92.3,
Plot18_2020_IMAGE.tif,188,Region,2020-01-01,Pocillopora,192,5864.1,2318.4,460.21,848.89,97.7,
Plot18_2020_IMAGE.tif,189,Region,2020-01-01,Pocillopora_dead,981,8056.4,2196.7,13.66,17.95,17.2,
Plot18_2020_IMAGE.tif,190,Region,2020-01-01,Pocillopora_dead,982,4060.4,2212.6,30.0,53.43,24.3,
Plot18_2020_IMAGE.tif,191,Region,2020-01-01,Pocillopora_dead,983,5192.0,2215.3,12.45,26.83,16.2,
Plot18_2020_IMAGE.tif,192,Region,2020-01-01,Pocillopora_dead,984,8474.6,2248.7,21.87,33.85,24.0,
