Time period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,694,-1,345,0,77.0112621,Pocillopora_dead,born,none
2017-2018,695,-1,346,0,23.77746602,Pocillopora_dead,born,none
2017-2018,696,-1,350,0,87.47139199,Pocillopora_dead,born,none
2017-2018,696,-1,355,0,78.33544167,Pocillopora_dead,born,none
2017-2018,490,-1,358,0,37.54360126,Pocillopora,born,none
2017-2018,697,-1,361,0,56.67755168,Pocillopora_dead,born,none
2017-2018,698,-1,362,0,16.47670416,Pocillopora,born,none
2017-2018,699,-1,374,0,44.635516,Pocillopora,born,none
2017-2018,700,-1,381,0,13.02850502,Pocillopora_dead,born,none
2017-2018,701,-1,384,0,11.92205967,Pocillopora_dead,born,none
2017-2018,702,-1,387,0,11.97093879,Pocillopora_dead,born,none
2017-2018,703,-1,397,0,12.0198179,Pocillopora_dead,born,none
2017-2018,704,-1,404,0,2.052922687,Pocillopora,born,none
2017-2018,705,-1,407,0,52.20289119,Pocillopora_dead,born,none
2017-2018,706,-1,416,0,97.6382472,Pocillopora,born,none
2017-2018,707,-1,419,0,105.5077842,Pocillopora_dead,born,none
2017-2018,708,-1,420,0,1.635228461,Pocillopora_dead,born,none
2017-2018,709,-1,423,0,26.86573716,Pocillopora_dead,born,none
2017-2018,710,-1,429,0,51.78075341,Pocillopora_dead,born,none
2017-2018,711,-1,432,0,56.06878456,Pocillopora_dead,born,none
2017-2018,712,-1,437,0,176.4846978,Pocillopora,born,none
2017-2018,713,-1,441,0,90.60854224,Pocillopora,born,none
2017-2018,714,-1,444,0,50.15885561,Pocillopora,born,none
2017-2018,715,-1,446,0,54.68239521,Pocillopora,born,none
2017-2018,716,-1,447,0,42.63591598,Pocillopora_dead,born,none
2017-2018,717,-1,451,0,92.25265781,Pocillopora,born,none
2017-2018,718,-1,453,0,136.1416565,Pocillopora_dead,born,none
2017-2018,224,-1,454,0,11.06000989,Pocillopora_dead,born,none
2017-2018,719,-1,455,0,30.10508919,Pocillopora_dead,born,none
2017-2018,720,-1,458,0,71.8478505,Pocillopora,born,none
2017-2018,721,-1,461,0,22.07558422,Pocillopora_dead,born,none
2017-2018,722,-1,464,0,23.96409535,Pocillopora,born,none
2017-2018,723,-1,466,0,16.04123572,Pocillopora_dead,born,none
2017-2018,724,-1,472,0,11.35772811,Pocillopora_dead,born,none
2017-2018,725,-1,474,0,157.8750869,Pocillopora_dead,born,none
2017-2018,726,-1,475,0,36.62378526,Pocillopora_dead,born,none
2017-2018,727,-1,482,0,26.1814296,Pocillopora_dead,born,none
2017-2018,538,-1,487,0,57.03303613,Pocillopora,born,none
2017-2018,728,-1,490,0,50.33659784,Pocillopora_dead,born,none
2017-2018,729,-1,492,0,6.434268509,Pocillopora_dead,born,none
2017-2018,730,-1,493,0,30.28727497,Pocillopora_dead,born,none
